visitedPages;relevantPages;ratio
10;4;0,4
20;14;0,7
30;23;0,76666666666667
40;23;0,575
50;25;0,5
60;33;0,55
70;41;0,58571428571429
80;43;0,5375
90;43;0,47777777777778
100;43;0,43
110;43;0,39090909090909
120;43;0,35833333333333
130;43;0,33076923076923
140;43;0,30714285714286
150;45;0,3
160;45;0,28125
170;45;0,26470588235294
180;45;0,25
190;45;0,23684210526316
200;45;0,225
210;45;0,21428571428571
220;45;0,20454545454545
230;45;0,19565217391304
240;45;0,1875
250;45;0,18
260;45;0,17307692307692
270;45;0,16666666666667
280;45;0,16071428571429
290;45;0,1551724137931
300;45;0,15
310;45;0,14516129032258
320;45;0,140625
330;45;0,13636363636364
340;47;0,13823529411765
350;48;0,13714285714286
360;54;0,15
370;61;0,16486486486486
380;66;0,17368421052632
390;68;0,17435897435897
400;73;0,1825
410;79;0,19268292682927
420;83;0,19761904761905
430;88;0,2046511627907
440;98;0,22272727272727
450;108;0,24
460;117;0,25434782608696
470;120;0,25531914893617
480;125;0,26041666666667
490;131;0,26734693877551
500;136;0,272
